id,name,artists,genre
5b7IIUpOXAEemY8vs2vBlE,Talam: Mahalakshmi Tala - 9 1/2 Beats - Pancha Nadai Pallavi (Ragam Tanam Pallavi),['L. Shankar'],carnatic
4AqVNwuEvh3etNjaPhbUvI,Muralidhara Gopala,['Aishwarya Srinivas'],carnatic
7fUKDiUoTuc9L0XDF3Dku1,Tulasi Jagajanani,"['Traditional', 'Tyagaraja', 'Bombay Jayashri']",carnatic
24SSdNA4OZE6hJdUYiDHcE,Guruvay Varuvay,"['Amrit Ramnath', 'Bombay Jayashri']",carnatic
0OM13VGs9W6tmYEzU3zq7d,Alaipayuthe Kanna,['Aruna Sairam'],carnatic
2LUNoYCgb47zgxCtwtLsxD,Jagadodharana - Kapi - Adi,"['Bhooshani Kalyanaraman', 'DR Subhashini Parthasarathy', 'M. S. Sheela']",carnatic
4wKpDHB8384r3LybQoFvd4,Velane Shivabalane,"['Neela Ramamurthy', 'S Sabesh', 'Bombay Jayashri']",carnatic
5dM8pRc7uUaAxcIoHTxs4X,Sami Ninne Kori (Live),['Neyveli Santhanagopalan'],carnatic
2XU5aiBsuXekPvn13J8eYp,Jagadodharana (Kadri Gopalnath-Sax),['Vadya Sangamam'],carnatic
6092NyHnqMmCV1q1t6Azd6,Krishna Nee Begane,['Vijay Prakash'],carnatic
0c6C2H9lMJuG0EzjMc3BBu,Saramaina - Behag - Rupaka,"['Bombay Jayashri', 'T. M. Krishna']",carnatic
5AUhoBAtaLFswdPdULzQTR,Shades of Hamsanadam - Kalyana Rama - Tala Adi,['IndianRaga'],carnatic
3A21ImpkBRJONWIjYTk6zV,Siddhivinayakama,['Lalgudi G.J.R. Krishnan'],carnatic
2zDNa1Jdh8qTBBibh9gF3E,Chinnan Chiru Pen Pole - Sindhubhairavi - Adi Tisram,"['Sikkil Gurucharan', 'Anil Srinivasan']",carnatic
0OlgTqheAKhxCRPQBZDVJl,Teerada Vilayattu,['Geetha Raja'],carnatic
67jSOIL0f7RHRN0V6NmpsY,Vellai Thamarai - Unni Krishnan,['Unnikrishnan'],carnatic
0XLJ4jDLFDLtleuLwQAdqf,Endaro Mahanu (Live),['Nithyasree Mahadevan'],carnatic
7b5t9VCBhloeoa20D1sB2S,Maha Ganapatim - Nata,['T. N. Krishnan'],carnatic
5QAB8IH6XdjLZqDBa81seG,Enna Thavam Seithanai,['Sudha Ragunathan'],carnatic
4WrK20iE8PiiGEVR9KZ9So,Vanajaksha (Varnam),['Gayathri Venkataraghavan'],carnatic
59Y9sb6HvRaeJJZUhW0WdH,Enna Thavam Seithanai,['Sooryagayathri'],carnatic
0jqlLyJrS0eeshuFpwMOBN,Amma Ananda Daayini - Gambhira Nata - Tala Adi,['IndianRaga'],carnatic
2GWZrbPtfFXxTKg9w17vVl,Nee Irangaayenil,['Visalakshi Nityanand'],carnatic
7LKl0r4Q2w8rhBbrvKlOdg,Viruttam Followed By Vilaiyada Idu Nerama (Live),['Sikkil Gurucharan'],carnatic
46CSxDilRjN3VkzGRiYUyc,Ragathil Siranda Ragam - Ragamalika - Adi,['Nithyasree Mahadevan'],carnatic
1SYIjD8P6QvjZmSLx5Q9w0,Thaye Yashoda,"['Mani Sharma', 'Amit Heri']",carnatic
69J5bFP0G8tuEa1JqUw1J3,Sindhubhairavi Thillana - Sindhubhairavi - Tala Adi,['IndianRaga'],carnatic
066heoCqhCI0RdwvSYNAfe,Maalai Saatrinaal,"['Traditional', 'Charulatha Mani']",carnatic
5KgSecRl0KwuMIc5yXqfYh,Adadhu Asangadhu,['Aruna Sairam'],carnatic
3QYz7JcmLzeiYvvaPtpjkd,Devi Neeye Tunai,['Visalakshi Nityanand'],carnatic
60YYoEJxp3BLbrLXicxpMt,Kadanakuthuhalam,['M. Balamuralikrishna'],carnatic
2UllORaFHrMd6ZmBZGzbGs,Kaakkai Siraginile,['Unnikrishnan'],carnatic
7BQZjg16a2Yoth3gIO9Lt2,Malayamarutham - Malayamarutham - Adi,['Nithyasree Mahadevan'],carnatic
1OmHmuOvobYHUPrxXcR9HY,Kurai Onrum Illai - Ragamalika - Adi (Live),"['Kadri Gopalnath', 'Haridwaramangalam A.K. Palanivel']",carnatic
1yQFpzTSsSpzVF1X8H4RRX,Kurai Ondrumillai,['Sudha Ragunathan'],carnatic
0kDvebm71LQvZxSoimQaO1,Shades of Kalyani - Ethavunara - Kalyani - Tala Adi,['IndianRaga'],carnatic
2KaZtDiIYk0vrz5qtL9lXx,Radha Sametha Krishna,['Rahul Vellal'],carnatic
1fGJTmioM64sohInQpx2bQ,Karunai Deivame (Raga - Sindhu Bhairavi / Tala - Adi),"['Traditional', 'Lavanya Sundararaman']",carnatic
63b3B7GI6GT7S6Pstyjkgo,Muddugare Yesoda - Sowmya,['S. Sowmya'],carnatic
6DwnGCRLuajokSi8uVRIes,Aasai Mugam,['Mahathi'],carnatic
6ouK2ILchJHAMrYttrBPPt,Mayil Vahana,['Nithyasree Mahadevan'],carnatic
0myfi2zVSgmD7WAsn9DFSU,Sri Krishnam Bhaja,"['Dikshitar', 'M. L. Vasanthakumari']",carnatic
2RlFwDtsyY72YvtMs2XlJA,"Saravana Bhava - Devakriya - Roopakam, Pt. 6",['Ranjani-Gayatri'],carnatic
2RlN08wnK45vllNJNPMl22,Karuna Nidhiye,['Bombay Jayashri'],carnatic
6k1TVbZcKqOktTKOk3iXxR,Jagadhodarana,['Sudha Ragunathan'],carnatic
3c7TNCEFh29PXXgWioFdNX,Mahaganapatim,"['Mani Sharma', 'Amit Heri']",carnatic
312UHYgXzJ6NzA2rFeyYSe,Vatapi Ganapathim (Raga: Hamsadwani; Tala: Adi),['Chitti Babu'],carnatic
